,Hr_Mean_Wage,Jobs_1000,Occupation,State,Tot_Emp,Yr_Mean_Wage
5217,20.84,0.326,Computer Operators,Delaware,140,43340.0
5223,15.81,0.78,"Office Machine Operators, Except Computer",Delaware,350,32880.0
5262,19.3,0.672,"Computer, Automated Teller, and Office Machine Repairers",Delaware,300,40130.0
5306,16.57,0.192,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Delaware,90,34460.0
5374,78.99,5.738,Computer and Information Systems Managers,District of Columbia,4060,164310.0
5421,63.45,0.639,Computer and Information Research Scientists,District of Columbia,450,131980.0
5422,50.47,6.01,Computer Systems Analysts,District of Columbia,4260,104970.0
5424,48.91,1.693,Computer Programmers,District of Columbia,1200,101740.0
5425,55.72,3.386,"Software Developers, Applications",District of Columbia,2400,115900.0
5426,53.64,3.824,"Software Developers, Systems Software",District of Columbia,2710,111570.0
5427,41.66,1.785,Web Developers,District of Columbia,1260,86660.0
5429,47.12,3.465,Network and Computer Systems Administrators,District of Columbia,2450,98020.0
5430,54.49,1.816,Computer Network Architects,District of Columbia,1290,113330.0
5431,33.43,6.4,Computer User Support Specialists,District of Columbia,4530,69530.0
5432,44.26,0.925,Computer Network Support Specialists,District of Columbia,660,92060.0
5433,56.09,24.036,"Computer Occupations, All Other",District of Columbia,17020,116670.0
5444,58.86,0.619,Computer Hardware Engineers,District of Columbia,440,122440.0
5446,60.72,0.757,"Electronics Engineers, Except Computer",District of Columbia,540,126300.0
5512,0.0,0.233,"Computer Science Teachers, Postsecondary",District of Columbia,160,123000.0
5762,26.82,0.187,Computer Operators,District of Columbia,130,55790.0
5769,20.91,0.651,"Office Machine Operators, Except Computer",District of Columbia,460,43500.0
5803,19.21,0.131,"Computer, Automated Teller, and Office Machine Repairers",District of Columbia,90,39970.0
5871,61.49,1.774,Computer and Information Systems Managers,Florida,14930,127890.0
5925,50.75,0.063,Computer and Information Research Scientists,Florida,530,105560.0
5926,39.52,2.48,Computer Systems Analysts,Florida,20880,82210.0
5928,38.35,1.268,Computer Programmers,Florida,10670,79770.0
5929,43.64,4.07,"Software Developers, Applications",Florida,34270,90770.0
5930,48.6,1.96,"Software Developers, Systems Software",Florida,16500,101090.0
5931,29.95,0.823,Web Developers,Florida,6930,62290.0
5933,38.15,2.253,Network and Computer Systems Administrators,Florida,18970,79360.0
5934,39.87,1.585,Computer Network Architects,Florida,13340,82920.0
5935,22.85,4.418,Computer User Support Specialists,Florida,37190,47540.0
5936,27.93,1.137,Computer Network Support Specialists,Florida,9570,58090.0
5937,37.73,1.328,"Computer Occupations, All Other",Florida,11180,78470.0
5952,44.72,0.252,Computer Hardware Engineers,Florida,2120,93020.0
5954,43.82,0.558,"Electronics Engineers, Except Computer",Florida,4700,91140.0
6042,0.0,0.244,"Computer Science Teachers, Postsecondary",Florida,2050,80280.0
6365,22.42,0.264,Computer Operators,Florida,2220,46630.0
6372,14.7,0.292,"Office Machine Operators, Except Computer",Florida,2460,30570.0
6443,17.66,0.752,"Computer, Automated Teller, and Office Machine Repairers",Florida,6330,36730.0
6506,18.11,0.255,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Florida,2150,37660.0
6507,23.97,0.054,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Florida,450,49860.0
6645,67.29,3.078,Computer and Information Systems Managers,Georgia,13240,139970.0
6697,49.02,0.189,Computer and Information Research Scientists,Georgia,810,101950.0
6698,42.24,4.039,Computer Systems Analysts,Georgia,17380,87850.0
6700,41.05,1.6,Computer Programmers,Georgia,6880,85380.0
6701,49.82,6.284,"Software Developers, Applications",Georgia,27040,103630.0
6702,48.81,2.795,"Software Developers, Systems Software",Georgia,12030,101530.0
6703,37.48,0.63,Web Developers,Georgia,2710,77950.0
6705,42.1,2.515,Network and Computer Systems Administrators,Georgia,10820,87570.0
6706,54.38,1.224,Computer Network Architects,Georgia,5270,113110.0
6707,25.47,5.377,Computer User Support Specialists,Georgia,23140,52980.0
6708,33.53,1.577,Computer Network Support Specialists,Georgia,6790,69740.0
6709,42.4,3.854,"Computer Occupations, All Other",Georgia,16580,88190.0
6723,43.03,0.326,Computer Hardware Engineers,Georgia,1400,89500.0
6725,45.17,1.14,"Electronics Engineers, Except Computer",Georgia,4910,93950.0
6811,0.0,0.161,"Computer Science Teachers, Postsecondary",Georgia,690,79780.0
7116,20.46,0.343,Computer Operators,Georgia,1470,42560.0
7123,15.75,0.282,"Office Machine Operators, Except Computer",Georgia,1210,32760.0
7187,16.63,0.575,"Computer, Automated Teller, and Office Machine Repairers",Georgia,2480,34590.0
7250,17.49,0.457,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Georgia,1970,36390.0
7251,23.13,0.053,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Georgia,230,48120.0
7383,58.15,1.194,Computer and Information Systems Managers,Hawaii,760,120950.0
7433,50.71,0.207,Computer and Information Research Scientists,Hawaii,130,105490.0
7434,38.91,2.37,Computer Systems Analysts,Hawaii,1500,80940.0
7436,37.11,0.735,Computer Programmers,Hawaii,470,77190.0
7437,39.45,1.205,"Software Developers, Applications",Hawaii,760,82050.0
7438,45.33,1.573,"Software Developers, Systems Software",Hawaii,1000,94280.0
7439,29.24,0.449,Web Developers,Hawaii,280,60810.0
7441,41.56,1.879,Network and Computer Systems Administrators,Hawaii,1190,86440.0
7442,48.34,0.537,Computer Network Architects,Hawaii,340,100540.0
7443,22.91,1.855,Computer User Support Specialists,Hawaii,1170,47660.0
7444,29.02,0.954,Computer Network Support Specialists,Hawaii,600,60350.0
7445,42.69,2.598,"Computer Occupations, All Other",Hawaii,1640,88790.0
7454,0.0,0.217,Computer Hardware Engineers,Hawaii,140,0.0
7456,47.7,0.816,"Electronics Engineers, Except Computer",Hawaii,520,99210.0
7525,0.0,0.176,"Computer Science Teachers, Postsecondary",Hawaii,110,83620.0
7787,23.77,0.445,Computer Operators,Hawaii,280,49440.0
7793,17.35,0.167,"Office Machine Operators, Except Computer",Hawaii,110,36080.0
7839,21.35,0.63,"Computer, Automated Teller, and Office Machine Repairers",Hawaii,400,44400.0
7960,50.8,1.841,Computer and Information Systems Managers,Idaho,1260,105660.0
8012,0.0,0.199,Computer and Information Research Scientists,Idaho,140,0.0
8013,37.87,1.981,Computer Systems Analysts,Idaho,1360,78770.0
8015,36.21,0.918,Computer Programmers,Idaho,630,75310.0
8016,42.11,4.297,"Software Developers, Applications",Idaho,2950,87580.0
8017,43.08,1.309,"Software Developers, Systems Software",Idaho,900,89610.0
8018,24.36,0.983,Web Developers,Idaho,670,50660.0
8020,30.92,1.935,Network and Computer Systems Administrators,Idaho,1330,64310.0
8021,38.89,0.629,Computer Network Architects,Idaho,430,80890.0
8022,20.99,4.337,Computer User Support Specialists,Idaho,2970,43650.0
8023,26.56,0.63,Computer Network Support Specialists,Idaho,430,55250.0
8024,36.69,1.405,"Computer Occupations, All Other",Idaho,960,76320.0
8034,48.78,0.394,Computer Hardware Engineers,Idaho,270,101470.0
8109,0.0,0.135,"Computer Science Teachers, Postsecondary",Idaho,90,99390.0
8380,21.3,0.251,Computer Operators,Idaho,170,44290.0
8386,13.41,0.27,"Office Machine Operators, Except Computer",Idaho,190,27880.0
8442,17.94,0.68,"Computer, Automated Teller, and Office Machine Repairers",Idaho,470,37320.0
8496,16.52,0.855,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Idaho,590,34370.0
8497,19.63,0.278,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Idaho,190,40820.0
8590,65.93,2.61,Computer and Information Systems Managers,Illinois,15470,137140.0
8645,58.32,0.099,Computer and Information Research Scientists,Illinois,590,121310.0
8646,43.56,4.47,Computer Systems Analysts,Illinois,26500,90600.0
8648,42.98,2.034,Computer Programmers,Illinois,12060,89390.0
8649,46.21,4.632,"Software Developers, Applications",Illinois,27460,96110.0
8650,51.3,2.387,"Software Developers, Systems Software",Illinois,14150,106700.0
8651,37.58,0.887,Web Developers,Illinois,5260,78160.0
8653,42.16,2.228,Network and Computer Systems Administrators,Illinois,13210,87700.0
8654,53.87,0.887,Computer Network Architects,Illinois,5260,112050.0
8655,25.81,4.309,Computer User Support Specialists,Illinois,25540,53680.0
8656,34.1,1.584,Computer Network Support Specialists,Illinois,9390,70940.0
8657,44.69,2.707,"Computer Occupations, All Other",Illinois,16050,92960.0
8672,45.91,0.21,Computer Hardware Engineers,Illinois,1250,95500.0
8674,48.37,0.555,"Electronics Engineers, Except Computer",Illinois,3290,100610.0
8764,0.0,0.227,"Computer Science Teachers, Postsecondary",Illinois,1340,89290.0
9084,23.08,0.27,Computer Operators,Illinois,1600,48010.0
9091,20.07,0.191,"Office Machine Operators, Except Computer",Illinois,1130,41750.0
9162,18.36,0.556,"Computer, Automated Teller, and Office Machine Repairers",Illinois,3300,38180.0
9225,18.89,0.713,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Illinois,4220,39290.0
9226,26.72,0.199,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Illinois,1180,55590.0
9361,57.0,1.56,Computer and Information Systems Managers,Indiana,4710,118560.0
9416,51.66,0.0,Computer and Information Research Scientists,Indiana,0,107440.0
9417,39.09,2.947,Computer Systems Analysts,Indiana,8900,81310.0
9419,36.26,1.442,Computer Programmers,Indiana,4350,75420.0
9420,41.17,2.996,"Software Developers, Applications",Indiana,9040,85640.0
9421,41.61,1.187,"Software Developers, Systems Software",Indiana,3580,86540.0
9422,27.71,0.538,Web Developers,Indiana,1620,57630.0
9424,34.77,2.392,Network and Computer Systems Administrators,Indiana,7220,72330.0
9425,41.46,1.077,Computer Network Architects,Indiana,3250,86230.0
9426,22.0,3.35,Computer User Support Specialists,Indiana,10110,45750.0
9427,29.17,0.514,Computer Network Support Specialists,Indiana,1550,60680.0
9428,35.23,0.912,"Computer Occupations, All Other",Indiana,2750,73280.0
9441,40.32,0.124,Computer Hardware Engineers,Indiana,370,83870.0
9443,42.2,0.784,"Electronics Engineers, Except Computer",Indiana,2370,87780.0
9523,0.0,0.281,"Computer Science Teachers, Postsecondary",Indiana,850,0.0
9832,18.58,0.206,Computer Operators,Indiana,620,38660.0
9839,15.48,0.238,"Office Machine Operators, Except Computer",Indiana,720,32190.0
9907,17.25,0.644,"Computer, Automated Teller, and Office Machine Repairers",Indiana,1950,35890.0
9971,17.89,2.328,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Indiana,7030,37210.0
9972,22.46,0.264,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Indiana,800,46730.0
10102,58.78,2.404,Computer and Information Systems Managers,Iowa,3690,122260.0
10156,39.83,4.377,Computer Systems Analysts,Iowa,6720,82850.0
10158,36.09,0.933,Computer Programmers,Iowa,1430,75060.0
10159,41.38,4.451,"Software Developers, Applications",Iowa,6830,86070.0
10160,42.46,1.929,"Software Developers, Systems Software",Iowa,2960,88310.0
10161,27.94,0.692,Web Developers,Iowa,1060,58120.0
10163,35.55,2.176,Network and Computer Systems Administrators,Iowa,3340,73940.0
10164,0.0,0.772,Computer Network Architects,Iowa,1180,0.0
10165,22.61,2.806,Computer User Support Specialists,Iowa,4310,47030.0
10166,26.0,1.502,Computer Network Support Specialists,Iowa,2310,54070.0
10167,37.21,1.42,"Computer Occupations, All Other",Iowa,2180,77390.0
10179,53.65,0.131,Computer Hardware Engineers,Iowa,200,111600.0
10181,33.58,0.25,"Electronics Engineers, Except Computer",Iowa,380,69840.0
10257,0.0,0.248,"Computer Science Teachers, Postsecondary",Iowa,380,98080.0
10558,21.2,0.224,Computer Operators,Iowa,340,44100.0
10565,15.81,0.467,"Office Machine Operators, Except Computer",Iowa,720,32890.0
10624,18.6,0.738,"Computer, Automated Teller, and Office Machine Repairers",Iowa,1130,38690.0
10679,18.44,1.772,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Iowa,2720,38340.0
10680,22.15,0.276,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Iowa,420,46070.0
10804,58.26,2.145,Computer and Information Systems Managers,Kansas,2940,121180.0
10857,43.21,0.074,Computer and Information Research Scientists,Kansas,100,89880.0
10858,37.75,3.741,Computer Systems Analysts,Kansas,5120,78530.0
10860,35.67,1.25,Computer Programmers,Kansas,1710,74190.0
10861,41.77,3.975,"Software Developers, Applications",Kansas,5440,86880.0
10862,47.34,1.763,"Software Developers, Systems Software",Kansas,2410,98460.0
10863,29.24,0.731,Web Developers,Kansas,1000,60820.0
10865,36.3,4.023,Network and Computer Systems Administrators,Kansas,5510,75500.0
10866,45.49,1.172,Computer Network Architects,Kansas,1600,94620.0
10867,21.8,5.549,Computer User Support Specialists,Kansas,7600,45350.0
10868,28.12,0.678,Computer Network Support Specialists,Kansas,930,58490.0
10869,39.5,1.044,"Computer Occupations, All Other",Kansas,1430,82160.0
10882,45.25,0.337,Computer Hardware Engineers,Kansas,460,94110.0
10884,42.03,0.947,"Electronics Engineers, Except Computer",Kansas,1300,87410.0
10955,0.0,0.144,"Computer Science Teachers, Postsecondary",Kansas,200,61620.0
11244,22.49,0.529,Computer Operators,Kansas,720,46770.0
11251,14.32,0.451,"Office Machine Operators, Except Computer",Kansas,620,29780.0
11312,18.61,0.536,"Computer, Automated Teller, and Office Machine Repairers",Kansas,730,38710.0
11374,18.52,1.419,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Kansas,1940,38530.0
11375,29.18,0.445,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Kansas,610,60700.0
11488,56.58,1.334,Computer and Information Systems Managers,Kentucky,2500,117680.0
11541,34.96,2.36,Computer Systems Analysts,Kentucky,4430,72720.0
11543,33.51,0.554,Computer Programmers,Kentucky,1040,69700.0
11544,37.62,2.769,"Software Developers, Applications",Kentucky,5200,78260.0
11545,41.53,0.959,"Software Developers, Systems Software",Kentucky,1800,86380.0
11546,31.14,0.634,Web Developers,Kentucky,1190,64780.0
11548,31.09,1.685,Network and Computer Systems Administrators,Kentucky,3160,64670.0
11549,37.23,0.672,Computer Network Architects,Kentucky,1260,77440.0
11550,21.83,3.046,Computer User Support Specialists,Kentucky,5720,45400.0
11551,26.56,0.776,Computer Network Support Specialists,Kentucky,1460,55250.0
11552,39.48,1.378,"Computer Occupations, All Other",Kentucky,2590,82120.0
11565,43.96,0.068,Computer Hardware Engineers,Kentucky,130,91440.0
11567,44.53,0.322,"Electronics Engineers, Except Computer",Kentucky,600,92620.0
11647,0.0,0.173,"Computer Science Teachers, Postsecondary",Kentucky,320,80950.0
11942,19.43,0.179,Computer Operators,Kentucky,340,40410.0
11949,14.36,0.333,"Office Machine Operators, Except Computer",Kentucky,630,29870.0
12012,18.48,1.272,"Computer, Automated Teller, and Office Machine Repairers",Kentucky,2390,38440.0
12071,17.82,0.993,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Kentucky,1860,37060.0
12072,22.94,0.16,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Kentucky,300,47700.0
12198,51.14,1.022,Computer and Information Systems Managers,Louisiana,1940,106380.0
12253,34.73,1.015,Computer Systems Analysts,Louisiana,1930,72230.0
12255,32.68,1.229,Computer Programmers,Louisiana,2340,67970.0
12256,36.87,0.611,"Software Developers, Applications",Louisiana,1160,76700.0
12257,36.18,0.629,"Software Developers, Systems Software",Louisiana,1200,75250.0
12258,26.54,0.244,Web Developers,Louisiana,460,55200.0
12260,31.3,1.469,Network and Computer Systems Administrators,Louisiana,2790,65090.0
12261,38.69,0.183,Computer Network Architects,Louisiana,350,80480.0
12262,21.75,1.886,Computer User Support Specialists,Louisiana,3590,45250.0
12263,24.36,0.72,Computer Network Support Specialists,Louisiana,1370,50660.0
12264,31.49,1.755,"Computer Occupations, All Other",Louisiana,3340,65500.0
12274,39.95,0.141,Computer Hardware Engineers,Louisiana,270,83090.0
12276,44.0,0.333,"Electronics Engineers, Except Computer",Louisiana,630,91520.0
12358,0.0,0.09,"Computer Science Teachers, Postsecondary",Louisiana,170,92080.0
12647,19.37,0.18,Computer Operators,Louisiana,340,40300.0
12654,15.36,0.114,"Office Machine Operators, Except Computer",Louisiana,220,31960.0
12720,19.22,0.51,"Computer, Automated Teller, and Office Machine Repairers",Louisiana,970,39980.0
12778,21.98,0.283,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Louisiana,540,45710.0
12779,25.12,0.057,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Louisiana,110,52250.0
12900,55.83,2.178,Computer and Information Systems Managers,Maine,1310,116120.0
12952,39.28,2.952,Computer Systems Analysts,Maine,1770,81710.0
12954,37.23,1.475,Computer Programmers,Maine,880,77450.0
12955,42.28,2.804,"Software Developers, Applications",Maine,1680,87940.0
12956,44.02,0.575,"Software Developers, Systems Software",Maine,340,91550.0
12957,30.0,0.55,Web Developers,Maine,330,62390.0
12959,34.1,2.079,Network and Computer Systems Administrators,Maine,1250,70930.0
12960,43.71,1.01,Computer Network Architects,Maine,600,90920.0
